source_address,stay_seg,stayWiFi_start,stayWiFi_end,stayWiFi_x,stayWiFi_y,n_windows,sensor_name,stayWiFi_duration,id_stayWiFi,matched
08:ae:d6:a4:5a:c3,123,2019-10-22T22:07:40Z,2019-10-22T22:11:40Z,398694.860901796,332932.071264492,12,sensor_bus_station,240,111,FALSE
08:ae:d6:a4:5a:c3,274,2019-11-05T02:30:40Z,2019-11-05T02:33:40Z,398330.524037958,333242.820502496,7,sensor_dorm_front,180,113,FALSE
08:ae:d6:a8:f8:27,189,2019-11-01T17:51:00Z,2019-11-01T17:57:40Z,398694.860901796,332932.071264492,13,sensor_bus_station,400,116,FALSE
08:ae:d6:a8:f8:27,326,2019-11-11T15:05:20Z,2019-11-11T15:10:40Z,398694.860901796,332932.071264492,14,sensor_bus_station,320,117,FALSE
08:ae:d6:ab:44:71,108,2019-10-28T12:37:00Z,2019-10-28T12:41:20Z,398694.860901796,332932.071264492,12,sensor_bus_station,260,119,FALSE
08:ae:d6:ab:44:71,109,2019-10-28T13:44:00Z,2019-10-28T13:47:40Z,398694.860901796,332932.071264492,11,sensor_bus_station,220,120,FALSE
08:ae:d6:ab:44:71,174,2019-10-29T17:29:00Z,2019-10-29T17:32:00Z,398694.860901796,332932.071264492,9,sensor_bus_station,180,121,FALSE
08:ae:d6:ab:44:71,307,2019-11-04T12:31:20Z,2019-11-04T12:34:40Z,398650.168190907,333220.29524339,7,sensor_PC_room_front,200,125,FALSE
08:ae:d6:ab:44:71,309,2019-11-04T14:20:40Z,2019-11-04T14:23:40Z,398486.64697418,332942.249315354,6,sensor_bridge_main_engineer,180,126,FALSE
08:ae:d6:ab:44:71,442,2019-11-09T14:36:20Z,2019-11-09T14:40:20Z,398694.860901796,332932.071264492,12,sensor_bus_station,240,128,FALSE
08:ae:d6:ab:44:71,568,2019-11-14T18:48:40Z,2019-11-14T18:53:20Z,398630.282400965,333061.079076782,7,sensor_football_field_front,280,129,FALSE
08:d4:6a:e7:de:22,26,2019-10-23T18:29:40Z,2019-10-23T18:33:40Z,398249.183444569,333246.955554579,12,sensor_parking_dorm,240,130,FALSE
08:d4:6a:e7:de:22,59,2019-10-29T17:19:40Z,2019-10-29T17:22:40Z,398249.183444569,333246.955554579,8,sensor_parking_dorm,180,131,FALSE
10:f1:f2:0c:51:dc,92,2019-10-25T12:52:00Z,2019-10-25T12:55:00Z,398276.5494287,332822.743179555,8,sensor_202_back_further,180,132,FALSE
10:f1:f2:0c:51:dc,225,2019-11-01T03:19:40Z,2019-11-01T03:24:20Z,398463.172785994,333090.149301928,7,sensor_football_field_back,280,134,FALSE
10:f1:f2:0c:51:dc,226,2019-11-01T03:24:20Z,2019-11-01T03:27:20Z,398569.005749386,333153.077009889,9,sensor_parking_sport,180,135,FALSE
10:f1:f2:0c:51:dc,249,2019-11-01T13:11:20Z,2019-11-01T13:15:20Z,398630.282400965,333061.079076782,7,sensor_football_field_front,240,136,FALSE
10:f1:f2:0c:51:dc,350,2019-11-04T15:24:00Z,2019-11-04T15:27:00Z,398364.514269459,333159.432104367,6,sensor_TMB_back,180,138,FALSE
10:f1:f2:0c:51:dc,426,2019-11-05T21:12:20Z,2019-11-05T21:17:00Z,398694.860901796,332932.071264492,11,sensor_bus_station,280,141,FALSE
10:f1:f2:0c:51:dc,459,2019-11-05T23:54:40Z,2019-11-05T23:57:40Z,398409.881202589,333224.610229559,5,sensor_cafeteria_dorm_side,180,142,FALSE
10:f1:f2:0c:51:dc,469,2019-11-06T01:18:20Z,2019-11-06T01:25:20Z,398409.881202589,333224.610229559,18,sensor_cafeteria_dorm_side,420,143,FALSE
10:f1:f2:0c:51:dc,473,2019-11-06T01:27:20Z,2019-11-06T01:35:00Z,398409.881202589,333224.610229559,19,sensor_cafeteria_dorm_side,460,144,FALSE
10:f1:f2:0c:51:dc,475,2019-11-06T01:36:40Z,2019-11-06T01:45:40Z,398409.881202589,333224.610229559,25,sensor_cafeteria_dorm_side,540,145,FALSE
10:f1:f2:0c:51:dc,500,2019-11-07T11:28:40Z,2019-11-07T11:31:40Z,398330.524037958,333242.820502496,9,sensor_dorm_front,180,147,FALSE
18:83:31:b4:0b:f5,48,2019-10-23T20:02:40Z,2019-10-23T20:06:40Z,398694.860901796,332932.071264492,12,sensor_bus_station,240,151,FALSE
2c:33:61:97:88:76,1,2019-10-21T21:06:20Z,2019-10-21T21:09:20Z,398694.860901796,332932.071264492,8,sensor_bus_station,180,153,FALSE
38:ca:da:d5:b2:52,43,2019-10-23T17:55:20Z,2019-10-23T17:58:20Z,398386.289936451,332954.428919774,7,sensor_202_front,180,157,FALSE
38:ca:da:d5:b2:52,119,2019-11-06T12:15:40Z,2019-11-06T12:21:00Z,398492.561616873,332848.135245204,11,sensor_lake,320,158,FALSE
38:ca:da:d5:b2:52,222,2019-11-11T12:24:40Z,2019-11-11T12:28:20Z,398492.561616873,332848.135245204,9,sensor_lake,220,159,FALSE
38:ca:da:d5:b2:52,231,2019-11-11T12:55:00Z,2019-11-11T12:58:00Z,398386.289936451,332954.428919774,8,sensor_202_front,180,160,FALSE
38:ca:da:d5:b2:52,319,2019-11-13T18:29:00Z,2019-11-13T18:32:00Z,398330.524037958,333242.820502496,6,sensor_dorm_front,180,161,FALSE
3c:f7:a4:b0:5f:f5,30,2019-10-23T12:58:20Z,2019-10-23T13:01:40Z,398386.289936451,332954.428919774,9,sensor_202_front,200,162,FALSE
3c:f7:a4:b0:5f:f5,107,2019-10-27T13:40:20Z,2019-10-27T13:44:00Z,398386.289936451,332954.428919774,9,sensor_202_front,220,163,FALSE
3c:f7:a4:b0:5f:f5,127,2019-10-28T14:09:00Z,2019-10-28T14:12:00Z,398576.185865983,332901.564783432,4,sensor_btw_201_102,180,164,FALSE
3c:f7:a4:b0:5f:f5,131,2019-10-28T17:49:00Z,2019-10-28T17:52:00Z,398439.932439304,333169.881568267,5,sensor_gym_front,180,165,FALSE
3c:f7:a4:b0:5f:f5,163,2019-10-31T16:07:00Z,2019-10-31T16:11:00Z,398694.860901796,332932.071264492,7,sensor_bus_station,240,166,FALSE
48:60:5f:6b:68:e4,258,2019-10-31T08:24:40Z,2019-10-31T08:27:40Z,398409.881202589,333224.610229559,9,sensor_cafeteria_dorm_side,180,168,FALSE
50:77:05:18:53:dd,4,2019-10-21T13:09:40Z,2019-10-21T13:12:40Z,398249.183444569,333246.955554579,7,sensor_parking_dorm,180,169,FALSE
50:77:05:18:53:dd,49,2019-10-22T09:24:20Z,2019-10-22T09:27:40Z,398276.5494287,332822.743179555,10,sensor_202_back_further,200,170,FALSE
50:77:05:18:53:dd,123,2019-10-24T12:31:40Z,2019-10-24T12:34:40Z,398694.860901796,332932.071264492,9,sensor_bus_station,180,171,FALSE
50:77:05:18:53:dd,316,2019-10-31T15:02:20Z,2019-10-31T15:05:20Z,398249.183444569,333246.955554579,7,sensor_parking_dorm,180,172,FALSE
50:77:05:18:53:dd,329,2019-10-31T17:27:20Z,2019-10-31T17:31:20Z,398694.860901796,332932.071264492,10,sensor_bus_station,240,173,FALSE
50:77:05:18:53:dd,735,2019-11-09T21:39:40Z,2019-11-09T21:43:00Z,398249.183444569,333246.955554579,8,sensor_parking_dorm,200,176,FALSE
50:77:05:18:53:dd,830,2019-11-13T14:23:00Z,2019-11-13T14:26:00Z,398263.219454065,332676.515731432,9,sensor_112_side,180,177,FALSE
50:77:05:94:d9:78,16,2019-10-22T16:52:20Z,2019-10-22T16:55:20Z,398249.183444569,333246.955554579,9,sensor_parking_dorm,180,180,FALSE
50:77:05:94:d9:78,23,2019-10-22T19:08:00Z,2019-10-22T19:11:40Z,398694.860901796,332932.071264492,11,sensor_bus_station,220,181,FALSE
50:77:05:94:d9:78,49,2019-10-23T00:37:20Z,2019-10-23T00:41:00Z,398694.860901796,332932.071264492,11,sensor_bus_station,220,182,FALSE
50:77:05:94:d9:78,56,2019-10-23T00:55:00Z,2019-10-23T01:00:40Z,398694.860901796,332932.071264492,17,sensor_bus_station,340,183,FALSE
50:77:05:94:d9:78,122,2019-10-26T17:16:00Z,2019-10-26T17:19:00Z,398409.881202589,333224.610229559,9,sensor_cafeteria_dorm_side,180,184,FALSE
50:77:05:94:d9:78,213,2019-10-29T01:26:40Z,2019-10-29T01:29:40Z,398694.860901796,332932.071264492,9,sensor_bus_station,180,186,FALSE
50:77:05:94:d9:78,215,2019-10-29T01:31:20Z,2019-10-29T01:35:20Z,398569.005749386,333153.077009889,12,sensor_parking_sport,240,187,FALSE
50:77:05:94:d9:78,230,2019-10-29T01:50:00Z,2019-10-29T01:55:40Z,398694.860901796,332932.071264492,17,sensor_bus_station,340,188,FALSE
50:77:05:94:d9:78,318,2019-10-30T23:54:20Z,2019-10-30T23:57:20Z,398330.524037958,333242.820502496,9,sensor_dorm_front,180,190,FALSE
50:77:05:94:d9:78,383,2019-11-02T16:07:20Z,2019-11-02T16:11:00Z,398694.860901796,332932.071264492,11,sensor_bus_station,220,193,FALSE
50:77:05:94:d9:78,387,2019-11-02T23:27:40Z,2019-11-02T23:30:40Z,398486.64697418,332942.249315354,5,sensor_bridge_main_engineer,180,194,FALSE
50:77:05:94:d9:78,414,2019-11-03T19:30:00Z,2019-11-03T19:33:00Z,398307.837850393,332934.237017761,4,sensor_202_back,180,196,FALSE
50:77:05:94:d9:78,469,2019-11-04T17:19:40Z,2019-11-04T17:23:00Z,398694.860901796,332932.071264492,8,sensor_bus_station,200,197,FALSE
50:77:05:94:d9:78,473,2019-11-04T18:03:40Z,2019-11-04T18:06:40Z,398694.860901796,332932.071264492,8,sensor_bus_station,180,198,FALSE
50:77:05:94:d9:78,494,2019-11-05T21:07:20Z,2019-11-05T21:11:40Z,398694.860901796,332932.071264492,12,sensor_bus_station,260,199,FALSE
50:77:05:94:d9:78,574,2019-11-06T23:15:40Z,2019-11-06T23:20:20Z,398694.860901796,332932.071264492,14,sensor_bus_station,280,200,FALSE
50:77:05:bc:73:a0,9,2019-10-21T21:05:40Z,2019-10-21T21:09:00Z,398492.561616873,332848.135245204,10,sensor_lake,200,205,FALSE
50:77:05:bc:73:a0,108,2019-10-25T16:10:00Z,2019-10-25T16:13:40Z,398694.860901796,332932.071264492,11,sensor_bus_station,220,206,FALSE
