source_address,n_days,visitor_type,device_class
00:3d:e8:e9:5e:bf,1,One-time (1 day),Not seen during interview
00:3d:e8:e9:f8:b2,1,One-time (1 day),Interview-only (Outsider)
00:3d:e8:ea:96:83,25,Resident (20+ days),Campus member (seen during interview)
00:3d:e8:eb:1f:13,1,One-time (1 day),Interview-only (Outsider)
00:3d:e8:eb:41:a2,1,One-time (1 day),Not seen during interview
00:3d:e8:eb:79:46,25,Resident (20+ days),Campus member (seen during interview)
00:3d:e8:ec:61:b6,1,One-time (1 day),Interview-only (Outsider)
00:3d:e8:ee:b9:4f,24,Resident (20+ days),Campus member (seen during interview)
00:3d:e8:f3:08:0a,2,Rare (2 days),Campus member (seen during interview)
00:3d:e8:f3:2b:9c,1,One-time (1 day),Not seen during interview
00:3d:e8:f5:4a:9e,1,One-time (1 day),Not seen during interview
00:3d:e8:f5:50:10,3,Occasional (3-9 days),Not seen during interview
00:3d:e8:f5:57:1f,3,Occasional (3-9 days),Not seen during interview
00:3d:e8:f5:c8:fc,1,One-time (1 day),Not seen during interview
00:3d:e8:f6:48:6f,1,One-time (1 day),Interview-only (Outsider)
00:3d:e8:f6:78:1a,1,One-time (1 day),Not seen during interview
00:3d:e8:f6:7f:d4,1,One-time (1 day),Not seen during interview
00:3d:e8:f9:f9:a8,1,One-time (1 day),Interview-only (Outsider)
00:3d:e8:fb:5b:23,4,Occasional (3-9 days),Not seen during interview
00:3d:e8:fd:02:83,24,Resident (20+ days),Campus member (seen during interview)
00:3d:e8:fd:02:e0,3,Occasional (3-9 days),Campus member (seen during interview)
00:3d:e8:fd:14:c8,1,One-time (1 day),Interview-only (Outsider)
00:3d:e8:fd:c7:a4,1,One-time (1 day),Not seen during interview
00:3d:e8:fd:c7:d0,1,One-time (1 day),Not seen during interview
00:3d:e8:fd:d8:fe,1,One-time (1 day),Not seen during interview
00:3d:e8:fd:f3:40,12,Regular (10-19 days),Campus member (seen during interview)
00:3d:e8:fe:4f:5c,26,Resident (20+ days),Campus member (seen during interview)
00:3d:e8:ff:88:ef,1,One-time (1 day),Interview-only (Outsider)
00:3e:e1:be:c2:b0,18,Regular (10-19 days),Campus member (seen during interview)
00:3e:e1:ca:60:bf,19,Regular (10-19 days),Campus member (seen during interview)
00:51:ed:be:3e:e0,26,Resident (20+ days),Campus member (seen during interview)
00:57:c1:a1:3b:66,1,One-time (1 day),Interview-only (Outsider)
00:57:c1:a1:6f:82,1,One-time (1 day),Interview-only (Outsider)
00:57:c1:a2:9d:0f,3,Occasional (3-9 days),Not seen during interview
00:57:c1:a4:52:58,1,One-time (1 day),Interview-only (Outsider)
00:57:c1:a5:8e:26,25,Resident (20+ days),Campus member (seen during interview)
00:57:c1:a7:57:17,1,One-time (1 day),Not seen during interview
00:57:c1:a9:4d:d9,1,One-time (1 day),Not seen during interview
00:57:c1:aa:36:b0,26,Resident (20+ days),Campus member (seen during interview)
00:57:c1:aa:42:2d,1,One-time (1 day),Not seen during interview
00:57:c1:aa:9e:1e,25,Resident (20+ days),Campus member (seen during interview)
00:57:c1:ab:d0:98,21,Resident (20+ days),Campus member (seen during interview)
00:57:c1:ab:fa:1b,1,One-time (1 day),Not seen during interview
00:57:c1:ad:a8:20,1,One-time (1 day),Interview-only (Outsider)
00:57:c1:ae:9a:28,1,One-time (1 day),Not seen during interview
00:57:c1:b0:b2:96,1,One-time (1 day),Interview-only (Outsider)
00:57:c1:b5:cc:82,17,Regular (10-19 days),Campus member (seen during interview)
00:57:c1:b7:7c:df,1,One-time (1 day),Not seen during interview
00:57:c1:b8:8f:e1,1,One-time (1 day),Not seen during interview
00:57:c1:b8:df:73,1,One-time (1 day),Interview-only (Outsider)
00:57:c1:b9:bd:e1,1,One-time (1 day),Not seen during interview
00:57:c1:b9:c5:a1,2,Rare (2 days),Not seen during interview
00:57:c1:ba:af:50,1,One-time (1 day),Interview-only (Outsider)
00:57:c1:ba:e6:a4,24,Resident (20+ days),Campus member (seen during interview)
00:57:c1:ba:e6:ae,24,Resident (20+ days),Campus member (seen during interview)
00:57:c1:ba:ee:4e,1,One-time (1 day),Interview-only (Outsider)
00:57:c1:bc:2b:63,1,One-time (1 day),Not seen during interview
00:57:c1:bc:5d:89,3,Occasional (3-9 days),Not seen during interview
00:57:c1:bd:38:8d,1,One-time (1 day),Interview-only (Outsider)
00:57:c1:bd:3e:74,1,One-time (1 day),Not seen during interview
00:57:c1:c1:d6:2f,11,Regular (10-19 days),Campus member (seen during interview)
00:57:c1:c2:92:63,2,Rare (2 days),Not seen during interview
00:57:c1:c2:94:de,1,One-time (1 day),Not seen during interview
00:57:c1:c3:12:45,2,Rare (2 days),Not seen during interview
00:57:c1:c4:7a:20,1,One-time (1 day),Not seen during interview
00:57:c1:c4:be:5c,1,One-time (1 day),Interview-only (Outsider)
00:57:c1:c6:55:30,1,One-time (1 day),Interview-only (Outsider)
00:57:c1:c6:9e:64,1,One-time (1 day),Interview-only (Outsider)
00:57:c1:c7:1c:b4,1,One-time (1 day),Not seen during interview
00:57:c1:c8:9f:72,2,Rare (2 days),Not seen during interview
00:57:c1:ca:d2:59,12,Regular (10-19 days),Campus member (seen during interview)
00:57:c1:cc:43:b2,26,Resident (20+ days),Campus member (seen during interview)
00:57:c1:ce:31:3c,24,Resident (20+ days),Campus member (seen during interview)
00:57:c1:d0:48:83,4,Occasional (3-9 days),Campus member (seen during interview)
00:57:c1:d0:4d:74,1,One-time (1 day),Not seen during interview
00:57:c1:d0:63:34,2,Rare (2 days),Not seen during interview
00:57:c1:d1:96:28,3,Occasional (3-9 days),Not seen during interview
00:57:c1:d4:9e:59,4,Occasional (3-9 days),Not seen during interview
00:57:c1:d4:f6:40,1,One-time (1 day),Not seen during interview
00:57:c1:d5:fd:5c,2,Rare (2 days),Campus member (seen during interview)
00:57:c1:d6:ef:61,3,Occasional (3-9 days),Campus member (seen during interview)
00:57:c1:d9:80:de,1,One-time (1 day),Interview-only (Outsider)
00:57:c1:db:8b:4b,1,One-time (1 day),Not seen during interview
00:57:c1:e0:16:1e,1,One-time (1 day),Not seen during interview
00:57:c1:e0:52:da,1,One-time (1 day),Not seen during interview
00:57:c1:e1:8f:c8,26,Resident (20+ days),Campus member (seen during interview)
00:57:c1:e1:98:89,1,One-time (1 day),Not seen during interview
00:57:c1:e1:ab:4d,1,One-time (1 day),Not seen during interview
00:57:c1:e1:ad:1d,11,Regular (10-19 days),Campus member (seen during interview)
00:57:c1:e1:ed:45,1,One-time (1 day),Interview-only (Outsider)
00:57:c1:e2:c2:aa,2,Rare (2 days),Not seen during interview
00:57:c1:e3:49:e5,1,One-time (1 day),Interview-only (Outsider)
00:57:c1:e3:87:21,1,One-time (1 day),Interview-only (Outsider)
00:57:c1:e3:8a:92,1,One-time (1 day),Not seen during interview
00:57:c1:e3:df:69,22,Resident (20+ days),Not seen during interview
00:57:c1:e3:e7:07,1,One-time (1 day),Not seen during interview
00:57:c1:e4:8a:d4,2,Rare (2 days),Not seen during interview
00:57:c1:e4:dc:8e,1,One-time (1 day),Not seen during interview
00:57:c1:e4:ee:04,6,Occasional (3-9 days),Campus member (seen during interview)
00:57:c1:e4:f3:15,1,One-time (1 day),Interview-only (Outsider)
00:57:c1:e5:2c:14,1,One-time (1 day),Interview-only (Outsider)
00:57:c1:e5:f2:a9,1,One-time (1 day),Interview-only (Outsider)
00:57:c1:e6:35:2c,1,One-time (1 day),Interview-only (Outsider)
00:57:c1:e6:48:1e,2,Rare (2 days),Not seen during interview
00:57:c1:e7:64:1b,2,Rare (2 days),Campus member (seen during interview)
00:57:c1:f3:ac:25,26,Resident (20+ days),Campus member (seen during interview)
00:57:c1:f4:04:6c,4,Occasional (3-9 days),Not seen during interview
00:57:c1:f5:ff:5a,1,One-time (1 day),Not seen during interview
00:57:c1:f8:3e:e3,1,One-time (1 day),Interview-only (Outsider)
00:57:c1:f8:fe:f9,25,Resident (20+ days),Campus member (seen during interview)
00:57:c1:f9:0d:c5,1,One-time (1 day),Interview-only (Outsider)
00:57:c1:f9:a5:1e,1,One-time (1 day),Not seen during interview
00:57:c1:fc:bf:11,6,Occasional (3-9 days),Not seen during interview
00:57:c1:ff:54:fa,1,One-time (1 day),Interview-only (Outsider)
00:57:c1:ff:8c:0a,1,One-time (1 day),Not seen during interview
00:57:c1:ff:e7:86,1,One-time (1 day),Not seen during interview
00:5b:94:02:a0:e0,26,Resident (20+ days),Campus member (seen during interview)
00:5b:94:04:d4:c2,24,Resident (20+ days),Campus member (seen during interview)
00:5b:94:09:45:06,18,Regular (10-19 days),Not seen during interview
00:5b:94:0b:ca:bd,24,Resident (20+ days),Campus member (seen during interview)
00:5b:94:12:22:7a,22,Resident (20+ days),Campus member (seen during interview)
00:5b:94:12:b1:28,6,Occasional (3-9 days),Not seen during interview
00:5b:94:7d:f9:19,26,Resident (20+ days),Campus member (seen during interview)
00:5b:94:97:b3:bc,22,Resident (20+ days),Campus member (seen during interview)
00:5b:94:9c:28:83,9,Occasional (3-9 days),Not seen during interview
00:5b:94:9c:cc:10,24,Resident (20+ days),Campus member (seen during interview)
00:5b:94:9e:7f:76,21,Resident (20+ days),Campus member (seen during interview)
00:5b:94:9f:ef:8b,20,Resident (20+ days),Campus member (seen during interview)
00:5b:94:a0:8c:63,2,Rare (2 days),Not seen during interview
00:5b:94:a0:d2:dc,5,Occasional (3-9 days),Not seen during interview
00:5b:94:a0:e4:00,21,Resident (20+ days),Not seen during interview
00:5b:94:a5:5a:d3,13,Regular (10-19 days),Not seen during interview
00:5b:94:a7:65:86,25,Resident (20+ days),Campus member (seen during interview)
00:5b:94:a9:c5:b3,18,Regular (10-19 days),Campus member (seen during interview)
00:5b:94:ab:b7:e5,19,Regular (10-19 days),Campus member (seen during interview)
00:5b:94:ac:4e:d6,2,Rare (2 days),Not seen during interview
00:5b:94:b3:02:ee,19,Regular (10-19 days),Campus member (seen during interview)
00:5b:94:c3:90:bc,24,Resident (20+ days),Campus member (seen during interview)
00:5b:94:c6:2c:87,1,One-time (1 day),Not seen during interview
00:5b:94:c6:62:5c,23,Resident (20+ days),Campus member (seen during interview)
00:5b:94:c9:95:b6,10,Regular (10-19 days),Not seen during interview
00:5b:94:cb:cf:80,8,Occasional (3-9 days),Not seen during interview
00:5b:94:cc:4b:f6,7,Occasional (3-9 days),Not seen during interview
00:5b:94:cd:57:48,1,One-time (1 day),Not seen during interview
00:5b:94:ce:e4:b0,19,Regular (10-19 days),Campus member (seen during interview)
00:5b:94:d1:d7:e2,21,Resident (20+ days),Campus member (seen during interview)
00:5b:94:d7:a5:e0,11,Regular (10-19 days),Campus member (seen during interview)
00:5b:94:d8:5c:84,16,Regular (10-19 days),Not seen during interview
00:5b:94:d9:9d:d1,25,Resident (20+ days),Not seen during interview
00:5b:94:db:06:9d,20,Resident (20+ days),Not seen during interview
00:5b:94:e7:df:1f,8,Occasional (3-9 days),Not seen during interview
00:5b:94:e8:b6:93,15,Regular (10-19 days),Campus member (seen during interview)
00:5b:94:ec:32:f6,2,Rare (2 days),Not seen during interview
00:5b:94:ee:71:1a,19,Regular (10-19 days),Campus member (seen during interview)
00:5b:94:f2:e3:05,21,Resident (20+ days),Campus member (seen during interview)
00:5b:94:f3:e1:5b,15,Regular (10-19 days),Campus member (seen during interview)
00:6d:52:ed:a7:92,8,Occasional (3-9 days),Campus member (seen during interview)
00:6f:64:7c:04:a3,22,Resident (20+ days),Campus member (seen during interview)
00:88:65:9a:d4:6a,2,Rare (2 days),Not seen during interview
00:88:65:a2:1c:6c,8,Occasional (3-9 days),Campus member (seen during interview)
00:aa:70:d8:cc:a7,11,Regular (10-19 days),Campus member (seen during interview)
00:b3:62:78:e9:7a,1,One-time (1 day),Not seen during interview
00:b3:62:79:0d:b1,16,Regular (10-19 days),Campus member (seen during interview)
00:b3:62:8a:40:44,15,Regular (10-19 days),Campus member (seen during interview)
00:b3:62:f2:2b:ef,17,Regular (10-19 days),Campus member (seen during interview)
00:b5:d0:03:1a:d9,2,Rare (2 days),Not seen during interview
00:b5:d0:03:1b:af,1,One-time (1 day),Not seen during interview
00:b5:d0:03:1b:c3,1,One-time (1 day),Interview-only (Outsider)
00:b5:d0:23:bd:7d,6,Occasional (3-9 days),Not seen during interview
00:b5:d0:2a:3c:93,23,Resident (20+ days),Not seen during interview
00:b5:d0:2a:3e:63,1,One-time (1 day),Interview-only (Outsider)
00:b5:d0:33:b4:31,1,One-time (1 day),Not seen during interview
00:b5:d0:39:3b:55,1,One-time (1 day),Not seen during interview
00:b5:d0:42:90:69,20,Resident (20+ days),Campus member (seen during interview)
00:b5:d0:42:ca:d7,4,Occasional (3-9 days),Not seen during interview
00:b5:d0:42:d6:21,1,One-time (1 day),Not seen during interview
00:b5:d0:46:69:23,3,Occasional (3-9 days),Campus member (seen during interview)
00:b5:d0:46:70:57,19,Regular (10-19 days),Campus member (seen during interview)
00:b5:d0:55:b7:31,1,One-time (1 day),Not seen during interview
00:b5:d0:5d:96:c5,1,One-time (1 day),Interview-only (Outsider)
00:b5:d0:80:3c:29,3,Occasional (3-9 days),Campus member (seen during interview)
00:b5:d0:83:d7:b1,1,One-time (1 day),Not seen during interview
00:b5:d0:91:42:95,17,Regular (10-19 days),Campus member (seen during interview)
00:b5:d0:91:5a:6f,2,Rare (2 days),Not seen during interview
00:b5:d0:9a:4f:07,8,Occasional (3-9 days),Not seen during interview
00:b5:d0:a4:50:5b,1,One-time (1 day),Interview-only (Outsider)
00:b5:d0:a4:59:8b,4,Occasional (3-9 days),Not seen during interview
00:b5:d0:a8:6d:3e,1,One-time (1 day),Not seen during interview
00:b5:d0:a9:39:c1,5,Occasional (3-9 days),Not seen during interview
00:b5:d0:b1:1a:67,1,One-time (1 day),Not seen during interview
00:b5:d0:b1:43:e5,2,Rare (2 days),Not seen during interview
00:b5:d0:bb:09:b1,1,One-time (1 day),Not seen during interview
00:b5:d0:bb:09:f5,1,One-time (1 day),Not seen during interview
00:b5:d0:d0:88:83,2,Rare (2 days),Not seen during interview
00:b5:d0:d0:89:33,1,One-time (1 day),Not seen during interview
00:b5:d0:d0:99:7d,1,One-time (1 day),Not seen during interview
00:b5:d0:d5:1a:2d,26,Resident (20+ days),Campus member (seen during interview)
00:b5:d0:d8:9d:35,1,One-time (1 day),Not seen during interview
00:b5:d0:df:23:eb,1,One-time (1 day),Interview-only (Outsider)
00:b5:d0:e7:86:4d,1,One-time (1 day),Not seen during interview
00:b5:d0:ee:d8:73,3,Occasional (3-9 days),Not seen during interview
00:b5:d0:fe:e0:7b,1,One-time (1 day),Not seen during interview
00:b5:d0:fe:e4:d7,5,Occasional (3-9 days),Not seen during interview
00:cd:fe:0e:31:78,26,Resident (20+ days),Campus member (seen during interview)
00:cd:fe:10:57:56,1,One-time (1 day),Not seen during interview
00:cd:fe:17:e0:d0,21,Resident (20+ days),Not seen during interview
00:cd:fe:17:f3:0a,18,Regular (10-19 days),Not seen during interview
00:cd:fe:1d:b9:d2,20,Resident (20+ days),Campus member (seen during interview)
00:cd:fe:2b:0a:93,1,One-time (1 day),Not seen during interview
00:cd:fe:2e:d3:c9,1,One-time (1 day),Not seen during interview
00:cd:fe:71:97:c9,1,One-time (1 day),Not seen during interview
00:cd:fe:8f:55:34,26,Resident (20+ days),Campus member (seen during interview)
00:cd:fe:96:03:a1,2,Rare (2 days),Not seen during interview
00:cd:fe:bd:e2:00,27,Resident (20+ days),Campus member (seen during interview)
00:cd:fe:c5:9e:09,18,Regular (10-19 days),Campus member (seen during interview)
00:cd:fe:d9:f7:dc,23,Resident (20+ days),Campus member (seen during interview)
00:db:70:98:d5:bb,4,Occasional (3-9 days),Campus member (seen during interview)
00:db:70:c9:19:9c,23,Resident (20+ days),Campus member (seen during interview)
00:db:70:d8:82:60,18,Regular (10-19 days),Campus member (seen during interview)
00:db:70:e9:87:8c,22,Resident (20+ days),Not seen during interview
00:db:70:ee:cf:b9,1,One-time (1 day),Interview-only (Outsider)
00:ec:0a:1d:30:af,9,Occasional (3-9 days),Campus member (seen during interview)
00:ec:0a:49:4c:36,1,One-time (1 day),Not seen during interview
00:ec:0a:51:a9:72,2,Rare (2 days),Not seen during interview
00:ec:0a:61:e7:c1,22,Resident (20+ days),Not seen during interview
00:ec:0a:76:5c:80,5,Occasional (3-9 days),Campus member (seen during interview)
00:ec:0a:cc:f0:57,24,Resident (20+ days),Campus member (seen during interview)
00:ec:0a:ce:7a:c0,27,Resident (20+ days),Campus member (seen during interview)
00:f4:6f:7a:7a:31,1,One-time (1 day),Interview-only (Outsider)
00:f4:6f:80:0d:73,1,One-time (1 day),Interview-only (Outsider)
00:f4:6f:82:7e:f9,1,One-time (1 day),Interview-only (Outsider)
00:f4:6f:84:43:00,1,One-time (1 day),Interview-only (Outsider)
00:f4:6f:86:0c:42,16,Regular (10-19 days),Campus member (seen during interview)
00:f4:6f:8c:08:43,13,Regular (10-19 days),Not seen during interview
00:f4:6f:90:95:31,1,One-time (1 day),Interview-only (Outsider)
00:f4:6f:91:c8:5d,1,One-time (1 day),Interview-only (Outsider)
00:f4:6f:93:1e:23,1,One-time (1 day),Not seen during interview
00:f4:6f:93:57:cf,1,One-time (1 day),Not seen during interview
00:f4:6f:95:73:2b,2,Rare (2 days),Not seen during interview
00:f4:6f:95:a7:d1,20,Resident (20+ days),Campus member (seen during interview)
00:f4:6f:95:b7:3d,3,Occasional (3-9 days),Not seen during interview
00:f4:6f:96:87:df,1,One-time (1 day),Not seen during interview
00:f4:6f:96:fd:af,1,One-time (1 day),Interview-only (Outsider)
00:f4:6f:99:e6:99,1,One-time (1 day),Not seen during interview
00:f4:6f:9a:d6:b5,6,Occasional (3-9 days),Not seen during interview
00:f4:6f:9a:fb:69,4,Occasional (3-9 days),Not seen during interview
00:f4:6f:9b:0d:43,1,One-time (1 day),Interview-only (Outsider)
00:f4:6f:9b:1b:1b,1,One-time (1 day),Interview-only (Outsider)
00:f4:6f:9b:93:49,15,Regular (10-19 days),Not seen during interview
00:f4:6f:9b:e8:29,1,One-time (1 day),Not seen during interview
00:f4:6f:9f:01:d7,1,One-time (1 day),Interview-only (Outsider)
00:f4:6f:a0:82:61,1,One-time (1 day),Interview-only (Outsider)
00:f4:6f:a1:14:d9,20,Resident (20+ days),Campus member (seen during interview)
00:f4:6f:a3:ff:3f,1,One-time (1 day),Interview-only (Outsider)
