id_stayGPS,source_address,nm_prsn,stayGPS_start,stayGPS_end,stayGPS_x,stayGPS_y,stayGPS_duration,matched,wifi_id,spatial_dist,time_overlap,dist_to_nearest_sensor,nearest_sensor,dist_cat
189,64:7b:ce:3a:af:36,P049,2019-11-07T18:57:48Z,2019-11-07T19:03:03Z,398710.543660744,332939.891638262,315,FALSE,,,,17.524473576029,sensor_bus_station,<30m
190,64:7b:ce:3a:af:36,P049,2019-11-11T17:36:54Z,2019-11-11T17:42:24Z,398351.957563069,333230.79279125,330,FALSE,,,,24.5776694686302,sensor_dorm_front,<30m
191,64:7b:ce:3a:af:36,P049,2019-11-12T18:55:38Z,2019-11-12T18:59:58Z,398720.38531134,332921.789595861,260,FALSE,,,,27.5174161650751,sensor_bus_station,<30m
192,64:7b:ce:3a:af:36,P049,2019-11-14T18:53:39Z,2019-11-14T18:59:49Z,398711.564323267,332931.687638637,370,FALSE,,,,16.7078262389418,sensor_bus_station,<30m
193,64:7b:ce:4a:d7:52,P082,2019-10-29T17:40:45Z,2019-10-29T17:45:10Z,398476.040555484,333085.665644665,265,FALSE,,156.189136042417,265,13.6265429995374,sensor_football_field_back,<30m
194,64:7b:ce:4a:d7:52,P082,2019-10-30T15:51:39Z,2019-10-30T15:54:39Z,398460.249074986,333026.239547433,180,FALSE,,,,21.2207260907688,sensor_203_front,<30m
195,64:7b:ce:4a:d7:52,P082,2019-10-30T18:03:24Z,2019-10-30T18:09:34Z,398709.721996022,332931.825724817,370,FALSE,,,,14.8631225293106,sensor_bus_station,<30m
198,64:7b:ce:56:ca:24,P034,2019-10-28T17:06:14Z,2019-10-28T17:10:14Z,398716.28892099,332919.131553654,240,FALSE,,,,25.0319021080634,sensor_bus_station,<30m
199,64:7b:ce:56:ca:24,P034,2019-11-01T11:29:45Z,2019-11-01T11:39:10Z,398447.137689707,333023.796310176,565,FALSE,,,,10.2331977998522,sensor_203_front,<30m
200,64:7b:ce:56:ca:24,P034,2019-11-03T15:28:41Z,2019-11-03T15:31:41Z,398378.39227624,332983.068965239,180,FALSE,,,,29.7090094257778,sensor_202_front,<30m
201,64:7b:ce:56:ca:24,P034,2019-11-03T16:03:40Z,2019-11-03T16:08:00Z,398394.551148366,332988.649641386,260,FALSE,,,,35.2037698261066,sensor_202_front,30-50m
202,64:7b:ce:56:ca:24,P034,2019-11-05T15:32:07Z,2019-11-05T15:44:57Z,398471.377033182,332805.415847475,770,FALSE,,,,47.6836819940248,sensor_lake,30-50m
203,64:7b:ce:56:ca:24,P034,2019-11-05T20:58:40Z,2019-11-05T21:02:25Z,398523.705288765,332872.391354868,225,FALSE,,,,39.4751460408166,sensor_lake,30-50m
204,64:7b:ce:6a:2a:ee,P084,2019-11-01T11:03:01Z,2019-11-01T11:06:41Z,398339.442942531,333252.819476078,220,FALSE,,,,13.3987436526371,sensor_dorm_front,<30m
205,64:7b:ce:6a:2a:ee,P084,2019-11-05T18:30:35Z,2019-11-05T18:38:25Z,398374.954991335,333239.384429988,470,FALSE,,,,34.0969031650821,sensor_cafeteria_dorm,30-50m
206,64:7b:ce:6a:2a:ee,P084,2019-11-13T08:08:38Z,2019-11-13T08:12:08Z,398388.58944423,333227.36760493,210,FALSE,,,,21.4695620115297,sensor_cafeteria_dorm_side,<30m
207,64:7b:ce:6a:2a:ee,P084,2019-11-14T21:50:40Z,2019-11-14T21:55:00Z,398356.30545375,332921.794954028,260,FALSE,,,,36.7437073657982,sensor_202_in,30-50m
210,64:7b:ce:8c:d8:e4,P018,2019-11-04T20:44:39Z,2019-11-04T20:48:34Z,398519.01011441,332887.268956871,235,FALSE,,,,47.2331494904429,sensor_lake,30-50m
213,64:7b:ce:8c:d8:e4,P018,2019-11-08T18:14:48Z,2019-11-08T18:20:13Z,398725.218288952,332921.823840258,325,FALSE,,,,32.0402974138139,sensor_bus_station,30-50m
215,64:89:f1:45:aa:21,P027,2019-11-02T08:20:03Z,2019-11-02T08:24:23Z,398434.343669223,333046.248409145,260,FALSE,,,,32.5622282088346,sensor_203_front,30-50m
216,64:89:f1:45:aa:21,P027,2019-11-02T16:23:36Z,2019-11-02T16:26:36Z,398398.040650407,333024.668271397,180,FALSE,,,,45.4983060696875,sensor_203_front,30-50m
217,64:89:f1:45:aa:21,P027,2019-11-06T22:07:48Z,2019-11-06T22:10:48Z,398419.135487873,333195.317612832,180,FALSE,,,,30.7196873487366,sensor_cafeteria_dorm_side,30-50m
219,64:89:f1:50:ab:c7,P005,2019-11-03T16:08:17Z,2019-11-03T16:12:47Z,398401.484002065,333003.11250817,270,FALSE,,,,42.5611280669767,sensor_203_front,30-50m
220,64:89:f1:50:ab:c7,P005,2019-11-03T17:02:53Z,2019-11-03T17:08:28Z,398300.525011497,333266.511814124,335,FALSE,,,,38.2259052900867,sensor_dorm_front,30-50m
222,6c:e8:5c:cd:6f:8c,P039,2019-10-22T08:20:22Z,2019-10-22T08:24:57Z,398475.890336165,333173.589566462,275,FALSE,,,,36.1485766978446,sensor_gym_front,30-50m
224,6c:e8:5c:cd:6f:8c,P039,2019-10-24T17:23:53Z,2019-10-24T17:30:08Z,398696.353861722,332955.574247855,375,FALSE,,,,23.5503536342022,sensor_bus_station,<30m
225,6c:e8:5c:cd:6f:8c,P039,2019-11-01T17:39:47Z,2019-11-01T17:46:27Z,398320.830222637,333251.920771343,400,FALSE,,,,13.2960501112066,sensor_dorm_front,<30m
