id_stayGPS,source_address,nm_prsn,stayGPS_start,stayGPS_end,stayGPS_x,stayGPS_y,stayGPS_duration,matched,wifi_id,spatial_dist,time_overlap
402,a8:2b:b9:eb:56:7e,P069,2019-11-10T18:33:25Z,2019-11-10T18:36:35Z,398314.131404476,333271.872361214,190,TRUE,440,33.3575917510226,95
404,a8:2b:b9:eb:56:7e,P069,2019-11-12T18:37:08Z,2019-11-12T18:41:38Z,398375.97929005,333223.618138156,270,TRUE,443,33.9164255069889,180
406,a8:2b:b9:eb:56:7e,P069,2019-11-13T18:21:12Z,2019-11-13T18:26:47Z,398379.272199079,333233.616348558,335,TRUE,445,31.9064456704709,187
407,a8:2b:b9:fb:ea:27,P001,2019-10-26T09:18:27Z,2019-10-26T09:22:37Z,398325.508003752,333234.500669664,250,TRUE,446,9.71494814776535,173
408,a8:2b:b9:fb:ea:27,P001,2019-10-28T23:06:43Z,2019-10-28T23:10:58Z,398326.185314644,333245.209294468,255,TRUE,447,4.95286251366763,197
410,a8:2b:b9:fb:ea:27,P001,2019-11-04T22:18:59Z,2019-11-04T22:26:39Z,398519.754360202,332854.062683923,460,TRUE,449,94.1965019117105,240
411,a8:2b:b9:fb:ea:27,P001,2019-11-05T19:38:31Z,2019-11-05T19:46:31Z,398518.189626997,332893.020118211,480,TRUE,450,51.6860399697062,180
413,a8:2b:b9:fb:ea:27,P001,2019-11-09T11:24:31Z,2019-11-09T11:28:21Z,398322.47214882,333243.362888084,230,TRUE,451,8.07013635674594,189
415,ac:5f:3e:7b:6d:6e,P106,2019-10-21T17:35:56Z,2019-10-21T17:39:11Z,398710.181380534,332933.736469058,195,TRUE,452,15.4107097501743,195
417,ac:5f:3e:7b:6d:6e,P106,2019-10-25T17:58:35Z,2019-10-25T18:03:15Z,398700.61200617,332929.608593471,280,TRUE,453,6.2561929379598,205
418,ac:5f:3e:7b:6d:6e,P106,2019-10-27T13:34:56Z,2019-10-27T13:45:06Z,398699.478530951,332937.266217789,610,TRUE,454,6.95054233628526,484
420,ac:5f:3e:7b:6d:6e,P106,2019-10-30T17:55:20Z,2019-10-30T18:00:25Z,398712.300038136,332930.354871246,305,TRUE,456,17.5233981309608,305
421,ac:5f:3e:7b:6d:6e,P106,2019-11-01T19:45:17Z,2019-11-01T19:52:07Z,398703.33070612,332940.808046362,410,TRUE,457,12.1683582592999,410
422,ac:5f:3e:7b:6d:6e,P106,2019-11-02T07:31:43Z,2019-11-02T07:37:33Z,398698.451837162,332951.472701969,350,TRUE,458,19.7309551966043,177
425,ac:5f:3e:7b:6d:6e,P106,2019-11-03T13:35:13Z,2019-11-03T13:38:13Z,398377.804342816,332967.982907851,180,TRUE,460,15.9911191646255,180
431,ac:af:b9:ff:1f:4e,P052,2019-10-28T15:35:06Z,2019-10-28T15:39:46Z,398474.878663173,332931.428801359,280,TRUE,464,91.5257775127554,214
436,b0:70:2d:67:cb:ec,P006,2019-10-23T17:09:55Z,2019-10-23T17:17:40Z,398370.821869106,332932.601191118,465,TRUE,469,26.7527726723413,340
437,b0:70:2d:67:cb:ec,P006,2019-10-24T18:17:03Z,2019-10-24T18:20:03Z,398708.427257708,332934.177510468,180,TRUE,470,13.7288850544262,180
440,b0:70:2d:67:cb:ec,P006,2019-11-05T16:16:04Z,2019-11-05T16:36:14Z,398507.913036025,332871.495712869,1210,TRUE,475,27.953130763804,274
441,b0:70:2d:67:cb:ec,P006,2019-11-08T11:57:51Z,2019-11-08T12:04:51Z,398717.876431244,332920.547185813,420,TRUE,476,25.7394441503314,360
442,b0:70:2d:67:cb:ec,P006,2019-11-10T18:18:16Z,2019-11-10T18:31:16Z,398698.669191614,332964.071521893,780,TRUE,478,32.2260693393041,320
445,bc:fe:d9:02:87:05,P097,2019-11-06T17:24:54Z,2019-11-06T17:33:49Z,398442.108152691,333189.595979331,535,TRUE,481,19.8341052819553,186
447,bc:fe:d9:02:87:05,P097,2019-11-10T18:05:48Z,2019-11-10T18:10:43Z,398709.583107785,332927.665643745,295,TRUE,482,15.367265317716,232
451,c0:a6:00:15:18:ed,P021,2019-10-30T21:52:14Z,2019-10-30T21:55:24Z,398719.868531265,332916.620465482,190,TRUE,484,29.3957262489429,126
455,c0:a6:00:15:18:ed,P021,2019-11-03T13:48:21Z,2019-11-03T13:58:41Z,398413.314616952,333021.156583616,620,TRUE,485,29.826178426328,301
457,c0:a6:00:15:18:ed,P021,2019-11-05T09:00:31Z,2019-11-05T09:05:26Z,398710.038813793,332944.744948772,295,TRUE,487,19.7734995843034,169
459,c0:a6:00:15:18:ed,P021,2019-11-14T09:06:36Z,2019-11-14T09:10:26Z,398708.125931423,332938.725495661,230,TRUE,489,14.8404785451908,186
460,c0:a6:00:c2:13:1d,P056,2019-10-25T15:59:28Z,2019-10-25T16:04:03Z,398699.236799738,332953.664211928,275,TRUE,491,22.0318828465791,275
461,c0:a6:00:c2:13:1d,P056,2019-10-25T16:05:28Z,2019-10-25T16:20:43Z,398698.324664228,332959.959698891,915,TRUE,491,28.1027120293402,12
462,c0:a6:00:c2:13:1d,P056,2019-10-30T11:52:53Z,2019-10-30T12:04:53Z,398711.783929725,332928.95273331,720,TRUE,493,17.2079664985386,180
464,c0:a6:00:cb:71:ff,P011,2019-10-24T18:04:39Z,2019-10-24T18:10:24Z,398722.064270678,332923.228821612,345,TRUE,494,28.6044065592845,141
466,c0:a6:00:cb:71:ff,P011,2019-11-04T17:40:15Z,2019-11-04T17:45:00Z,398702.205095703,332932.358118547,285,TRUE,495,7.34979383320059,200
468,c0:a6:00:cb:71:ff,P011,2019-11-08T18:05:27Z,2019-11-08T18:15:17Z,398697.723669316,332933.268377368,590,TRUE,496,3.10298519336076,590
469,c0:a6:00:cb:71:ff,P011,2019-11-10T18:25:24Z,2019-11-10T18:31:14Z,398705.047366944,332944.011435004,350,TRUE,497,15.6949591927517,276
472,c4:61:8b:b7:bc:93,P074,2019-11-11T19:08:11Z,2019-11-11T19:20:01Z,398709.718271009,332928.336613621,710,TRUE,501,15.3195638663751,421
474,d0:7f:a0:fd:aa:cd,P066,2019-10-28T17:09:38Z,2019-10-28T17:21:23Z,398326.880607906,333252.223908189,705,TRUE,506,10.0845734250308,240
479,d0:7f:a0:fd:aa:cd,P066,2019-11-05T15:34:42Z,2019-11-05T15:40:22Z,398703.114029048,332937.185899048,340,TRUE,509,9.70945910314986,122
482,d4:11:a3:f6:b9:db,P057,2019-11-14T16:01:27Z,2019-11-14T16:08:47Z,398710.12747727,332926.641970045,440,TRUE,514,16.2032578481422,227
484,f4:60:e2:d6:8d:2c,P094,2019-10-24T15:17:18Z,2019-10-24T15:21:03Z,398697.597358757,332953.829364843,225,TRUE,517,21.9295035871516,225
485,f4:60:e2:d6:8d:2c,P094,2019-10-24T15:22:43Z,2019-10-24T15:25:58Z,398698.669732652,332948.324442994,195,TRUE,517,16.6935018466355,195
487,f4:60:e2:d6:8d:2c,P094,2019-10-28T10:09:26Z,2019-10-28T10:13:01Z,398448.545386703,333125.138574308,215,TRUE,518,45.5644419622204,194
501,f8:95:ea:37:b1:c2,P091,2019-10-24T15:11:37Z,2019-10-24T15:25:22Z,398705.848599477,332936.35005092,825,TRUE,524,11.7914169471104,662
502,f8:95:ea:37:b1:c2,P091,2019-10-27T18:05:43Z,2019-10-27T18:25:18Z,398692.901106666,332941.04434345,1175,TRUE,526,9.18460358079369,618
503,f8:95:ea:37:b1:c2,P091,2019-11-03T13:35:55Z,2019-11-03T13:40:55Z,398722.820151034,332924.706188692,300,TRUE,527,28.9130413392485,85
505,f8:e9:4e:9d:96:3e,P062,2019-10-29T15:55:28Z,2019-10-29T16:05:03Z,398710.981077352,332939.219543413,575,TRUE,530,17.6339998719317,472
506,f8:e9:4e:9d:96:3e,P062,2019-10-31T15:55:20Z,2019-10-31T16:05:20Z,398709.307679368,332925.737557773,600,TRUE,531,15.7741948452074,220
507,f8:e9:4e:9d:96:3e,P062,2019-11-01T09:52:00Z,2019-11-01T10:06:25Z,398434.078527299,333171.788701426,865,TRUE,532,58.100123557279,180
509,f8:e9:4e:9d:96:3e,P062,2019-11-07T17:35:15Z,2019-11-07T17:40:55Z,398720.420279689,332918.320989886,340,TRUE,533,29.0232983999769,185
511,f8:e9:4e:9d:96:3e,P062,2019-11-10T09:38:04Z,2019-11-10T09:44:04Z,398698.60809099,332955.720117546,360,TRUE,534,23.9438860174717,324
